review_rank,source_index,date,model_partition,pca_reconstruction_error,anomaly_score_ratio,is_final_pca_anomaly,anomaly_score_margin,anomaly_score_excess_pct,anomaly_direction,anomaly_severity,track_id,artist,country,streams,position,severity_rank,is_high_priority_review,priority_score
1028,756011,2015-09-10,Training,0.246269091963768,2.587506460311106,True,0.15109286893159127,158.7506460311106,Positive,Very High,1BygxKyZjq2xjQiFMkSFGp,['Plan B'],pa,7905,29,3,True,6.468766150777765
1029,4287152,2019-12-12,Validation,0.2461598962545395,2.5863591600112024,True,0.15098367322236275,158.63591600112022,Negative,Very High,6RKVbvilqMVJxWgMyoQ3jT,['Frenna'],nl,217558,172,3,True,6.465897900028006
1030,3959807,2015-07-02,Training,0.24612347781658173,2.585976517826027,True,0.150947254784405,158.5976517826027,Negative,Very High,5yjA8BscTvoceGWY2P1I8F,['Ricky Martin'],cl,2952,243,3,True,6.464941294565067
1031,1994231,2015-07-23,Training,0.2461191862821579,2.5859314274212273,True,0.15094296324998116,158.59314274212272,Positive,Very High,32lm3769IRfcnrQV11LO4E,"['Enrique Iglesias', 'Descemer Bueno', 'Gente De Zona']",pt,17581,64,3,True,6.464828568553068
1032,5351742,2016-07-14,Training,0.2460186779499054,2.584875403878262,True,0.15084245491772866,158.48754038782621,Negative,Very High,7vfWgVGiLgnGbInU5lvSQg,"['Mike Posner', 'Seeb']",gr,21535,9,3,True,6.462188509695656
1033,3332576,2021-08-05,Test,0.24593635556653937,2.584010456933076,True,0.15076013253436263,158.4010456933076,Negative,Very High,54OBgO0Xwu20Jak9TMXbR7,['Nathan Evans'],ch,63417,78,3,True,6.46002614233269
1034,4421077,2015-09-17,Training,0.24567890167236328,2.5813054337038075,True,0.15050267864018654,158.13054337038074,Positive,Very High,6bJ1rkeKujVpRPIwJjq6e0,"['Anna Naklab', 'Alle Farben', 'YouNotUs']",nl,48951,175,3,True,6.453263584259519
1035,3636074,2015-09-03,Training,0.24565832316875458,2.5810892189502366,True,0.15048210013657784,158.10892189502366,Positive,Very High,5WQ1hIc5d2EVbRQ8qsj8Uh,['Outkast'],pt,8396,157,3,True,6.452723047375591
1036,1607310,2020-10-08,Validation,0.24557341635227203,2.580197117816387,True,0.1503971933200953,158.0197117816387,Negative,Very High,2U5WueTLIK5WJLD7mvDODv,['Juice WRLD'],au,552191,32,3,True,6.450492794540967
1037,3682806,2016-11-24,Training,0.245242178440094,2.576716858759815,True,0.15006595540791726,157.6716858759815,Negative,Very High,5aAx2yezTd8zXrkmtKl66Z,"['The Weeknd', 'Daft Punk']",fr,551572,4,3,True,6.441792146899537
1038,5031135,2016-11-24,Training,0.245242178440094,2.576716858759815,True,0.15006595540791726,157.6716858759815,Negative,Very High,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']",fr,551572,4,3,True,6.441792146899537
1039,4292393,2017-04-27,Training,0.24488428235054016,2.572956506876206,True,0.14970805931836342,157.2956506876206,Positive,Very High,6RUKPb4LETWmmr3iAEQktW,"['The Chainsmokers', 'Coldplay']",lu,12109,5,3,True,6.432391267190515
1040,4169740,2015-07-23,Training,0.24476692080497742,2.5717234095560584,True,0.14959069777280068,157.17234095560585,Negative,Very High,6HTJZ0TQJVMSKkUGzAOe2h,"['Matoma', 'The Notorious B.I.G.', 'Ja Rule', 'Ralph Tresvant']",mx,19214,246,3,True,6.429308523890146
1041,2313955,2022-03-31,Test,0.24464153527091032,2.5704060055861118,True,0.14946531223873358,157.04060055861117,Negative,Very High,3Vi5XqYrmQgOYBajMWSvCi,['Doja Cat'],gb,490449,103,3,True,6.426015013965279
1042,3205372,2019-06-27,Validation,0.2442191243171692,2.5659678072600625,True,0.14904290128499245,156.59678072600624,Negative,Very High,4szQkW1CDHqbRZGltXJdd3,['Mahmood'],ch,114175,29,3,True,6.414919518150156
1043,2912227,2016-11-24,Training,0.24411553144454956,2.564879374988647,True,0.14893930841237282,156.4879374988647,Negative,Very High,4RlWqAjKp9OcLaY49FtBEZ,['Jul'],fr,421234,19,3,True,6.412198437471618
