database_track_id,source_track_id,database_track_name,track_id,artists,name
19579,33MgQyqDdQjhBBrm7rGGVb,liga la sosa,33MgQyqDdQjhBBrm7rGGVb,['Платина'],liga la sosa
19684,00Dy9idE7FOsG4dbeRo1Pi,Жить не запретишь,00Dy9idE7FOsG4dbeRo1Pi,['Канги'],Жить не запретишь
19740,15NALogLwSNm0Ua8hDUajh,起點,15NALogLwSNm0Ua8hDUajh,"['吳霏', '艾薇']",起點
19965,5Vv1VeXGH7YTPuwA7gizOS,ไทม์แมชชีน,5Vv1VeXGH7YTPuwA7gizOS,"['ปอน นิพนธ์', 'โต๋เหน่อ']",ไทม์แมชชีน
20095,1Muw1QlVngQPNL2Vk7fXN6,مهرجان لا مش هقع - بت انتي كوخ,1Muw1QlVngQPNL2Vk7fXN6,['حمو الطيخا'],مهرجان لا مش هقع - بت انتي كوخ
20108,6jNy9WM3zyvG9E5bdVALl8,好不容易 (《華燈初上》片尾曲),6jNy9WM3zyvG9E5bdVALl8,['告五人'],好不容易 (《華燈初上》片尾曲)
20116,6ZQoqQ9YYKrf52JRNvueLH,الدنيا دوارة,6ZQoqQ9YYKrf52JRNvueLH,['بدر العزي'],الدنيا دوارة
20170,2UxHaQdCaLxLMsVWOHg72M,тпм,2UxHaQdCaLxLMsVWOHg72M,['КОСМОНАВТОВ НЕТ'],тпм
20892,6AO1D5zV7YbsGPUEy09Bwg,绿色,6AO1D5zV7YbsGPUEy09Bwg,['陈雪凝'],绿色
21076,20OrMs4eAhIHyG82wHaGy0,我以為你不會出現 (UAG安全感形象曲),20OrMs4eAhIHyG82wHaGy0,['告五人'],我以為你不會出現 (UAG安全感形象曲)
21092,5Wp2zthERSPYnYOhaKs2SQ,誰,5Wp2zthERSPYnYOhaKs2SQ,['林愷倫'],誰
21101,0AdRVtUvbbuUBOpcBEOIat,チキンライス,0AdRVtUvbbuUBOpcBEOIat,['浜田雅功と槇原敬之'],チキンライス
21199,6HHbfGzobp338AhqtVMIWd,מאושר בלעדיי,6HHbfGzobp338AhqtVMIWd,['מיה סולימן'],מאושר בלעדיי
21224,5g3SAbi3NE8YXI0Z9aDFoZ,与我无关,5g3SAbi3NE8YXI0Z9aDFoZ,['阿冗'],与我无关
21245,3mkRGh8v7AOH31yQ38SVdt,ダーリン,3mkRGh8v7AOH31yQ38SVdt,['須田景凪'],ダーリン
21428,1rr2DJOxV0sHXeUXCAz1yf,春泥棒,1rr2DJOxV0sHXeUXCAz1yf,['ヨルシカ'],春泥棒
