source_artist_label,match_status
"David Carreira, MC Kevinho",artist_not_found
"Jack Ü, Skrillex, Diplo, kai",artist_not_found
"DJ-MK, M.s, MJ",artist_not_found
"Ditonellapiaga, Donatella Rettore",artist_not_found
"D-Double, Broederliefde, SBMG",artist_not_found
"10AGE, Ramil'",artist_not_found
"6ix9ine, Anuel AA",artist_not_found
"Niska, Ninho",artist_not_found
"Boef, Dopebwoy",artist_not_found
"Young Stunna, Kabza De Small, DJ Maphorisa",artist_not_found
"Manuel, T. Danny",artist_not_found
"Blxst, Tyga, Ty Dolla $ign",artist_not_found
"Manuel, Ekhoe",artist_not_found
"Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell",artist_not_found
"No.1, Melek Mosso",artist_not_found
"Architrackz, CHO, Equalz, Mula B",artist_not_found
"Ermal Meta, Fabrizio Moro",artist_not_found
"Morgan Sulele, Katastrofe",artist_not_found
"Pezet, Kayah",artist_not_found
"Ngô Kiến Huy, Masew",artist_not_found
"Emma Steinbakken, Hver gang vi møtes",artist_not_found
"Inkonnu, Hindi Zahra",artist_not_found
"Quevedo, Myke Towers",artist_not_found
"ReTo, Kubi Producent",artist_not_found
"Chamaco, Boza",artist_not_found
"Beatriz Luengo, Mala Rodríguez",artist_not_found
"club2020, Oki, Otsochodzi, Taco Hemingway, Young Leosia, Dwa Sławy, Gruby Mielzky",artist_not_found
"Boef, Numidia",artist_not_found
"Gulddreng, Skinz",artist_not_found
"Lukas Leon, Cheek, Etta",artist_not_found
"Inkonnu, Nouvo",artist_not_found
"Juan Magán, Dario",artist_not_found
"DJ Snake, Ozuna, Megan Thee Stallion, LISA",artist_not_found
"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",artist_not_found
"El Alfa, Lil Pump",artist_not_found
"Henrik von Grogg, Henrik Viken",artist_not_found
"Maluma, Becky G, Anitta",artist_not_found
"RSAC, ELLA",artist_not_found
"L-Gante, El Mas Ladron, DT.Bilardo",artist_not_found
"Raisa, Isyana Sarasvati",artist_not_found
"Skusta Clee, Yuridope",artist_not_found
"Maluma, Bad Bunny, Arcangel, Ñengo Flow, De La Ghetto",artist_not_found
"Ozuna, Anuel AA",artist_not_found
"ANIKV, SALUKI",artist_not_found
"Ex Battalion, O.C. Dawgs",artist_not_found
"Mark Forster, Sido",artist_not_found
"Thalia, Maluma",artist_not_found
"Osmani Garcia ""La Voz"", Pitbull, Sensato",artist_not_found
"Sech, Ozuna",artist_not_found
"Ir Sais, Rauw Alejandro",artist_not_found
"Rauw Alejandro, Farruko",artist_not_found
"Zac Efron, Zendaya",artist_not_found
"Steve Aoki, BTS",artist_not_found
"Ariana Grande, Justin Bieber",artist_not_found
"Karel Gott, Charlotte Ella Gottová",artist_not_found
"Moby, Damien Jurado, Sebastien",artist_not_found
"Lomepal, Roméo Elvis",artist_not_found
"KAROL G, Maluma",artist_not_found
"The Weeknd, Kygo",artist_not_found
"Pritam, Arijit Singh",artist_not_found
"Daddy Yankee, Ozuna",artist_not_found
"Arcangel, Sech, Dímelo Flow",artist_not_found
"Bad Bunny, Tainy",artist_not_found
"Wisin, Ozuna",artist_not_found
"Carlos Vives, Sebastian Yatra",artist_not_found
"Lunay, Daddy Yankee, Bad Bunny",artist_not_found
"Shakira, Maluma",artist_not_found
"Arcangel, Bad Bunny, Mambo Kingz, DJ Luian",artist_not_found
"Einár, ADAAM",artist_not_found
"Wisin, Jennifer Lopez, Ricky Martin",artist_not_found
"Carlos Vives, Shakira",artist_not_found
"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",artist_not_found
"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",artist_not_found
"Y2K, bbno$",artist_not_found
"Clean Bandit, Demi Lovato",artist_not_found
"Pitbull, Gente De Zona",artist_not_found
"Piso 21, Christian Nodal",artist_not_found
"Anuel AA, Romeo Santos",artist_not_found
"Chris Brown, Lil Wayne, Tyga",artist_not_found
"Capital Bra, Loredana",artist_not_found
"Nio Garcia, Flow La Movie",artist_not_found
"Ofenbach, Quarterhead, Norma Jean Martine",artist_not_found
"Los Ángeles Azules, Natalia Lafourcade",artist_not_found
"Rauw Alejandro, Anuel AA",artist_not_found
"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",artist_not_found
"Rauw Alejandro, Mr. Naisgai",artist_not_found
"Rihanna, Drake",artist_not_found
"David Guetta, Justin Bieber",artist_not_found
"Myke Towers, Juhn",artist_not_found
"Marshmello, Anne-Marie",artist_not_found
"Deliric, Silent Strike",artist_not_found
"Calvin Harris, Dua Lipa",artist_not_found
"filous, James Hersey",artist_not_found
"Kina, Snøw",artist_not_found
"DaBaby, Roddy Ricch",artist_not_found
"Calvin Harris, Alesso, Hurts",artist_not_found
"R3HAB, Jolin Tsai",artist_not_found
"Yandel, Daddy Yankee",artist_not_found
"Sofía Reyes, Wisin",artist_not_found
"Juice WRLD, Marshmello",artist_not_found
"Dan + Shay, Justin Bieber",artist_not_found
"Mambo Kingz, DJ Luian, Anuel AA, KAROL G, Arcangel",artist_not_found
"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",artist_not_found
"Fifth Harmony, Ty Dolla $ign",artist_not_found
"Macklemore, Skylar Grey",artist_not_found
"Snakehips, Tinashe, Chance the Rapper",artist_not_found
"DJ Snake, Bipolar Sunshine",artist_not_found
