source_artist_label,source_artist_key,artist_count
"['Junior H', 'Gabito Ballesteros']",12fa9fd0fc5dbdd4e91227125bfe2f65ffd42c7f28bb10bb334ab1f6afb7f0ce,2
"['Dzsúdló', 'Lil Frakk']",aeb0baa5fc1ed4da3264128c6df342bfee4d2174cc0eeef11fd9d6849a3b315a,2
"['Gil Vain', 'רון בוחניק']",ca6b40fde17eb824c17a0da857d9d410ac48f0a0846bdf33446c6473acf12a8e,2
"['Ice Beats Slide', 'Sbuda Maleather', '2woBunnies']",bd8b1721f1c46d8014067b264b440b44b97982afa485fd9f7613859a152c54e4,3
"['DJ Maphorisa', 'Visca', '2woshort', 'Stompiiey', 'Shaunmusiq', 'Ftears', 'Madumane']",29b4c8e254153aac5c173b5ee2f889690416ca72a84716470b9fdf0da7915f9c,7
"['Deep London', 'Boohle']",282a0610a6f1658e564d8c38bf02ed0e47bca2b84e43c7deefa1f4adc2dc96d2,2
"['WIU', 'MC Ryan SP']",1b1afec7e69330e0242ff0ca7f6ff4c2c94205250104b93cad9487b97aecc1dc,2
"['نور النبوي', 'عطار']",a8a68a0b37f5bb77754f2ba216d90f0b1a4248709783623a735a4bee5ebf41d2,2
"['Neima Ezza', 'Rondodasosa']",5ae846f9b72a27b91f0fb4e39e0f46ba82075bb0c0716721a336f2bea4444b64,2
"['MC Cabelinho', 'Dallass']",f58e2304e6530defe34d7b8f9b02eb0f6366ba73f0ef3af09a96ac8de3f0aff5,2
"['Rei', 'Callejero Fino']",d983c7d8fe6784ea622f21ba0b641a4ebd1066df43ede8b399bced6c6894c394,2
"['HIEUTHUHAI', 'Negav', 'Kewtiie']",4bf4acecb2dbf738b62c88f18074ced1af3da9abd81790075c4f240d7edda87d,3
"['Mari Fernandez', 'NATTAN']",17fbf433fc7f9bb7666946b0af4b01fc559ad6b2c7a3359ba7579818b660dd4e,2
"['Kabza De Small', 'Young Stunna', 'Nobuhle', 'Ze2']",e83f09c84e548601684dc51eb99c0c250ff14ec9c7863fdbe3c6ca82e843da36,4
"['Rema', 'Selena Gomez']",245ff3d0c534eb387ee0ef780d915609da0b4701a720fc4f6a38e29b94cbfa61,2
"['MONSTAR', 'GREY D']",4aef77fe7efc0e38609d1f53b8e29695a960844250bf159e8232d7086f2a5b6e,2
"['Fuerza Regida', 'Peso Pluma']",3c31d24472d2d271e894e4c4b77003004d4a07665a4251d5afd783afc69bff54,2
"['Rochy RD', 'Jonatan Burlon']",e058a1026a6b3622b6298badcdad9a9216af045b09579e2c6d3f70f4615fe275,2
"['Marina Maximilian', 'Guy Mentesh']",3c3c09f05cb6209d10da4c88a60cbe189765612fc71cff8c9c9ba2868150e524,2
"['Kwan Gor', 'JW']",0a02efdf083b938753c323e48ddc3a668db0397c8bf69ad5c47abe909b25d3a5,2
"['Israel & Rodolffo', 'Maiara & Maraisa']",a4eb4fc83403ee2d75f38c63f52e53215f0a885b8886fa7c7fdd19ab3fc314b3,2
"['Avril Lavigne', 'Chad Kroeger']",2c340bc6d32543f775ef56c97012c2ccc70055143ec1bfe7fef65e2da34c80ae,2
"['Sam Smith', 'A$AP Rocky']",e974df0d9d48aca5269d951e49f1cd066d3d16e69df86965a895c134ee18c888,2
"['Sid Sriram', 'Sreejith Edavana']",b375244df293cc573c5d0ab2a9bf538dbd7f16ea136a741fc0512aa5365f1ad5,2
"['Luck Ra', ""La K'onga"", 'Ke Personajes']",7b76fd3c0e2a6d0fe88409f9d8db0f684172fab12bca0f626e9eca05b36cfc40,3
"['Marcianeke', 'Jere Klein']",fd4a8ae925d08fe8459387c1c563621a92c6bb7d9c0ca1c01cfa58e9341756a8,2
"['Bogdan DLP', 'Alex Velea']",feebd5f7c71b58b9328e861905e5d6f8ae5d0a58d21278d173d93945cb8a6f88,2
"['Mora', 'Feid']",8b3b377531cb8bd2f95d0e7faba50f2c934813705981bd747d51888688a89a35,2
"['Wingii', 'FL EX']",ff875812de40f63ea7358369caab8d2b55a2285921455fe86d769ccac06c7957,2
"['Naiara Azevedo', 'Ana Castela']",f85ebd27a1fa204899456adb14e6b2b29398b873f7e6fe66b34e4976a1efad6b,2
"['Gibbs', 'Kiełas']",7b36543481dfc00cdec31a71f4f278c5697cc4526c955caa3412fbb28541f3e1,2
"['Nelson Freitas', 'C4 Pedro']",edfbffd375acff2afe1544209714b3758d273e79ee304f245df63cdff1ff4264,2
"['Husayn', 'Wingii']",2ea3022717407dba95d6aa40d0bec37b2eac3ccebd0d76031f3484f3e7452e25,2
"['Mellow & Sleazy', 'Tman Xpress', 'SjavasDaDeejay', 'TitoM']",bc719f8f8ae7bf0f1ec7a5f469438b3f507ac7b85a084576551365ae2af254ca,4
"['Fuerza Regida', 'Edgardo Nuñez']",ef7c6a1cef6ef8eb75f5fd596e38845d28e567c0a36c8b16d135bd796e22c160,2
"['King Savagge', 'Jere Klein']",a128c0316c871cdda38de0701e70748dc72fa88883aa0065adf9bfb6b4bd0d8e,2
"['Yovie Widianto', 'Lyodra', 'Tiara Andini', 'Ziva Magnolya']",b596a388a2838ca9723802a07bf31e19fe38b96e41b3b1160118db667a3d5b8c,4
"[""BE'O"", 'ZICO']",b427e752044abd7d39161648a09331c43d338049857b26ea8cad8738e4408dc5,2
"['Sharn', '40k', 'The Paul']",0042962b01be3d2029d1e840a0dcec3c4253861f3def56c179fa3de890c66fa5,3
"['Colonel Bagshot', 'Mahmut Orhan']",3f108195fa308ad8eb531574cfd279cd36a918ef29c64b056afbe08d49c62a57,2
"['Saiko', 'Came Beats']",9bfcf4bcf692c9ad9fc750a0925b326d719b9c16d769723319eefb4cb653088f,2
"['Kai Đinh', 'MIN', 'GREY D']",f31067cde9caeb29998db15acb4f62eff278794c4aabbeef8ccae3bf1436cf86,3
"['YARMAK', 'ALISA']",13a275697d217a1e68427016a8d85ecf188ab7af641f36771e0ccacd112cff3f,2
"['MÖRDA', 'Oscar Mbo', 'Murumba Pitch']",ad71a62a2144402b9ca99c4a62cdcf9e882fe9e742ca12ecab8cc1d978788e8f,3
"['David Guetta', 'Bebe Rexha']",6b02d9df612ac8ca1e1eff91707cfdef625efae2ab8e157c8f6c2be86c2df6f4,2
"['ANGUISH', 'EXILED', 'Elfass']",eab9cd4c6152b644af8a6473775336c192a2b630d528a59340bf69732242d6bf,3
"['MITREVV', 'NSG1']",e1a176b6c197cf494e689f2f9ee333d22fe62c39f592138ef1da6e470e13a124,2
"['Laddi Chahal', 'Parmish Verma', 'Gurlez Akhtar']",f4743205b029762165de2addcb36066211af2bca9f4e77d89e531f8df3a19bf3,3
"['Flow 28', 'Ceky Viciny', 'B One El Productor De Oro']",efc3b20f48dd476c838e8c1a5f344b8dce27aa37b3f5ad13253331e62d8cfbcc,3
"['Chris Jonex', 'Bimbo el Oso Mañoso']",c1c06ac11e9613b76db4a8c4a5926f1180281c3750bce9520bd994501adf03a5,2
"['Sibel Can', 'Eypio']",70443fc84cddac8cb8cb1760eff3cb07deb3ea2cd471655e163043842d6d78ca,2
"['VALE', 'Simiz', 'DZWS']",5e433fee2a362ecc92697bc816fe2c7f1575f81e18961f8ce278c9471d0ccc32,3
"['nân', 'Ngơ']",e86a386c526e2ba3ef561f31b9c0d6fc616b2bf1d2a44193871e652bfe44dc99,2
"['Ozuna', 'Feid']",9b3ad473078ac2c86f0a4f1cedd2f831cef6599aa5ea9c384e2d9f6061b9862a,2
"['Nickoog Clk', 'ITHAN NY', 'Lucky Brown', 'Izahn']",aba358f8e8aa3c54318167aae062a5ebc52abe3da25d3cafc0bd4bd8e0823708,4
"['Empire of the Sun', 'southstar']",f0d5d2bae6aff5147f3eaa783355b6b039afb32914f5ba7a4216420d6d1ba086,2
"['Emcee L (Da LAB)', 'Da LAB', 'Badbies']",da7bb069e1782d0e0bcb17b5ed808cf1a55cac092024ced6791d71b5fed9d196,3
"['Soolking', 'Niska']",85aafbdbc9a1288a5ac520f0e97424cca2271e82950e52969d1e77969a99a6e4,2
"['Oscar Maydon', 'Junior H']",9685f7592d0a4cbf903dafd55ad54d902a1f4c0f4c3dad76a886312d688b18ac,2
"['Jassa Dhillon', 'thiarajxtt']",dd6256dc840361f8e2daa23069015a79554992f491d0cada81d00c895f189826,2
"['James Hype', 'Miggy Dela Rosa']",855e298f0fe543ad3c477d2c034eb0184a82ae2174cae3b28f2372c31ccd7f89,2
"['Yandel', 'Feid']",2d8ab930140555445b702e743d57af04597130d688b1e99254f564016fc04c4f,2
"['MC Cabelinho', 'Cyclope Beatz', 'Red', 'meLLo']",11c3a11715b461b2381817fc5a1f44ea09905cc081c9d0695bf7f2e5fc82fbeb,4
"['Rauw Alejandro', 'Lyanno', 'Brray']",5d995d54f2ec3175ba04aa329b6a435c72bec5aade8fd83ca258c2a66e0abf51,3
"['Carin Leon', 'Grupo Frontera']",6a1fc87860b3091cdbc5ae0d91351fe53393a9131a09786fbff24ffcaaf81121,2
"['Summer Cem', 'Miksu / Macloud', 'UZI']",a618f53fdbacb1373b1a5e2de89bc7e96e603ae65d064729794b268d6c229ca3,3
"['Mc Paiva ZS', 'Gabb MC', 'Dj Aladin GDB', 'Love Funk']",f7e8826fd6ec248a00ad15776e94479d94fca67ccefa4978de01e286586a5ec4,4
"['Junior H', 'Luis R Conriquez']",7ca009af88ffe63b0ca07651daed6026102b493f7b7c51e97543b21730f92822,2
"['Sachet Tandon', 'Parampara Tandon', 'Kumaar']",c1ac334ef571a34ab94dd774b0b0e83156971129d92e36c0c85bd6e899238def,3
"['Ana Castela', 'Melody', 'Dj Chris No Beat']",d8dc999ae8d3ccafe6464d1b0c08cc4a39277b980d246fc5a00db15cc7460565,3
"['Dj LK da Escócia', 'Tchakabum', 'MC Ryan SP', 'mc jhenny', 'Mc RF']",172d2fa000a7ac27b614fbf8e062e42a96d2a81e673eff41fdca6ca15ecc9f29,5
"['LiL CaKe', 'Migrantes', 'Nico Valdi']",081bac0bc60d358e6e1560d9b41ac6979790a0e942f57983d48178924901a0fa,3
"['MC Xenon', 'Os Gemeos da Putaria']",c9de0a070fbcf6f9fb75d5701c502d28bb6830f4930ba0c8552a97cfa2d6eb19,2
"['Mc Paiva ZS', 'Kotim']",c1120d229d8914dd2b748bcbc8d64b07d80e816d6f08df62307f88832eb8a3cb,2
"['Mambo Kingz', 'DJ Luian', 'Luigi 21 Plus', 'Ozuna']",adbd3e0979875de37e9121fcc5b76df50a58f22f99849912765230f402768afc,4
"['Grupo Marca Registrada', 'Luis R Conriquez']",0586a63d31a8ac7df4d693c11f290610766bbd2d4aa90933e2da130abe10a358,2
"['El Chachito', 'Junior H']",ce3ec783a3dbbac41b30a08e9695b78759a2d149cfd4d4e13a1f9a097a73c70e,2
"['Qanay', 'ALI']",b403e03243d22a6cc876ad3a6f555620eaca07ee4109bff4c6b97bb6d358b472,2
"['Жугунусов Мирас', '2Rar']",f87ed13423bdf18106eb9acc7f91a18f5a084cad4aff6f40ee793dfada6935c7,2
"['MC Cabelinho', 'Ajaxx', 'Galdino']",e1c986d8859140a80a4f4bc75acaff97500bb254d75ba9d55227d45dfbf60cee,3
"['Dhibu Ninan Thomas', 'Kapil Kapilan']",7ae61e149b106c7204b20ffb412034030889e1989a0b9ebd6a92f73528d5b5d7,2
"['KayBlack', 'Marquinho no Beat']",5e8618e594cc7dd94f83725d7038660d971b6b2c3332615c12b560f55b90f87e,2
"['Bad Bunny', 'Ozuna', 'Farruko', 'Arcangel', 'Ñengo Flow', 'DJ Luian', 'Mambo Kingz']",c864ee7134caeebaac6dfa935a59ac98652c73729565f98e87be25398efa4351,7
"['YAKTAK', 'DOVI']",a455fa44b0b41c6a1fb77fa4ad3ecd7becb8ffe8d320931e247f32dad0cb9bd6,2
"['Big One', 'Emilia', 'Callejero Fino']",a492a597ed99b8f4bdd70ecb35fc9cadc99b0a763553bfc4af6dee22fd870e4b,3
['Brenda Lee'],dd8446829653479eaf81d61727bbd7f9d26b28729a7e8fd74022b87ee63c2098,1
"['Senior Oat', 'Kemy Chienda']",d286727950a9d4e2ef41c3b3973301d41e16a3acdc3db6214c085a37a89643e6,2
"['V $ X V PRiNCE', 'De Lacure']",9848441f2f513ac0f792e8be5d1e641ebe50769d7b526066f6deccb26b207942,2
"['JC Reyes', 'Pablo Chill-E', 'Ecko', 'El Jincho', 'Camin', 'Harry Nach', 'Pedro Calderon']",4ad3473eec969f4548b64bae039b8a83761c3336ea48ea5c53b0af62ea9bd1c8,7
"['Daddy Yankee', 'Nicky Jam', 'Plan B']",a059f548eec28344b139858207eebb8e312bcfb7be186e5536923198b9c1d2b3,3
"['Bow Maylada', 'Lipta']",7bbeb533a8e4ce61e9aa90dc90a0740ee602b27a08b542ca49c1ed4631540b5c,2
"['Stars Music Chile', 'Cris Mj', 'Standly']",f8432015aee1fe254e5cb86fd4ea9ce2613a38fa98d34182d50ba6764b3e20fa,3
"['тринадцать карат', 'Три дня дождя']",284d418c48ba20cb5757492a8d89262e7bc92079c134a0e8b8860dd3a9e06ded,2
"['Semicenk', 'Reynmen']",9422cd713d30957782255bfa605a90c0fee158385176842861772033ef0979eb,2
"['Wanton chulito', 'Bulova']",66c9ad6ac038d20be2ddf008448660365753392d55004a75452c72fca589cacc,2
"['Felix Jaehn', 'Ray Dalton']",d75364a76d21160ccfbd95f24d8543a3bc2a59b5f24f0157757679a6c5120bee,2
"['Cash Cash', 'Bebe Rexha']",809bd766b788d423910c28f2650bdfcce4f1e014f5eba16960a6f83da5cfd824,2
"['Balbi El Chamako', 'Jere Klein']",169d42e058239c150562e46c314801971bac55a36053d4f29e2f04eec08168f3,2
"['百足', '韻マン']",2568c3fefac99b7e38ae0ea982bb55430ca93899f23acc5ce2a868846581ee06,2
"['VillaBanks', 'Linch', 'Andry The Hitmaker', 'Tony Effe', 'Slings', 'MamboLosco']",fd97a8a9d30f3806fa0ba9692e0fe1747558866d7a46e5edd88e5603a5b2c21a,6
"['Murilo Huff', 'Maiara & Maraisa']",ce3bd9d5663f8d81340bd598287b16a399d5edeca36fb3233f0b6d31d7fb1725,2
"['Bizarrap', 'Quevedo']",fb39b73fb557fe7447745a81a045ab5f00cbff7ae7a47fd0d05cc0da97b03fc1,2
"['Black Eyed Peas', 'Daddy Yankee']",edd16dde3853920b4285dedd37320715bda8e4f2d67ea2ed942d0afe232cc8a0,2
"['La Joaqui', 'Alan Gomez', 'EL NOBA']",93d9faf9c3dc3730318fae7ca85c97ee095bce1c9e8e1ce7a83097017235e267,3
"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya', 'Charan']",17b0995be1fa6241ee1d596c09957843150acf478412bdf2c9f7c964ca16edd2,4
"['Kain', 'Ekhoe', 'Pogány Induló']",ddd8547c85794f2774af02a646a8eb16b660f582810af08393e947da2fbc0f2b,3
"['Nicky Youre', 'dazy']",701901874e84012d9433bf6cce435b3f3d9f6242e4674f1fe39b58776df9c64c,2
"['Kristen Bell', 'Idina Menzel']",b0f66c6a669ce93b10919c4cef5a835ab224b55ec513c81b9cf9ba4cde020d11,2
['Kenaniah'],a9948bfde73805cd30694452446d7bc805135bd210d1dc395b849ebf45a7ac56,1
"['YAKTAK', ""SOBOL'""]",3efb29f488523dafcf552cab914aa28bdd545c1ed5d4a74dc61a9ae29f8112b1,2
"['Mavi Gri', 'Ahmet Hatipoğlu']",dfe4120a639f86ee92837d682555bb4538f66557c5fa8b06f00af30c6d4e63fd,2
"['Kappa Jotta', 'MUN']",a70901f14c7523ac38a76cd41d3a20a5a4a4500607126b00dff8755afa393380,2
"['kouz1', 'Tagne']",e19488ef6e2ca5acc2916ab9db32844c0f87b67d941dad051ed387eb35255917,2
"['phonk.me', 'KIIXSHI']",70e78ca2ed4713c7d7ff2ba3bd16a43481d208eeca6deebaaa6088b801bc620b,2
"['La Adictiva', 'Luis R Conriquez']",a601df0a1f057453c772e72a1432d8c4ad0e38bb6a934dc8038f7fadd76c9f3b,2
"['Muslim - مُسلِم', 'Hady Moamer']",f18b463f969f43f13dc3a586585e902138ae1bd5a275a02436455fde07276d9c,2
