source_track_id,track_name,artists_raw
05EG9LwFCVjkoYEWzsrHHO,Legend,['Tevvez']
05Eq6SWneoZYvKQbm2xN25,Alibi,['Bradley Cooper']
05Fn1zIHdLdG6zLZaU4ugU,Kombo,['Gettomasa']
05HxlfeaKKgqD6WeJPOCrf,Remind Me,['High Contrast']
05KOgYg8PGeJyyWBPi5ja8,Free Smoke,['Drake']
05Kms0excTlHRel656GZ3U,Monsters,['Katie Sky']
05KtnDxY4V7aMeHxwumTkY,Coração Bandido,['MC Menor Mr']
05NU5kXXLRZFTu0kPh9NPG,Flooded,"['M Huncho', 'Nafe Smallz']"
05P3jUoTFuuJnpHuJqy9EF,MAGIC CITY,"['CA$HANOVA BULHAR', 'flex53']"
05SeiG9InD1hUy7Z3OKZS5,Cake,['Mirror Glimpse']
05VIN2ysaYmDu9vmwWLOj3,ALENE,['Sandra Hussein']
05WcYNSHMxuM7ryv5sKIjX,Hasta el amanecer,['Natos y Waor']
05arqfyVpBF19pYxQcFjhe,Sól,['Logi Pedro']
05bfbizlM5AX6Mf1RRyMho,AM Remix,"['Nio Garcia', 'J Balvin', 'Bad Bunny']"
05cXQMJcrM9msUYu11mOrs,Alive,['Sia']
05dL7chWJaVjMJnGO1YCKk,Untouchable,"['Tritonal', 'Cash Cash']"
05eyyXvXUn1sJddXilQb5d,Cold Feet,['Loud Luxury']
05fmafNfnSdxZpwXtk0k1i,Cinco De Mayo,['Stepz']
05hHQgQoZTULVlV1KtcdLV,Clown,['Soprano']
05mAIVLkIWc2d1UBYZBCp8,1999,"['Charli XCX', 'Troye Sivan']"
05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,['Post Malone']
05nbZ1xxVNwUTcGwLbp7CN,Myself,['NAV']
05o4kr6fEuiOglJ9Vrt7Eo,Elvira,['OBOY']
05pQfYVH8YI9ItZEHKDRrM,Tomorrow,['AAA']
05rxRQtxLy9D9oa9h7lzJm,Fucked Up,['Aleksanteri Hakaniemi']
05sAiE8Cg4njAkvzLEVCRt,True Love,['Fumiya Fujii']
05tLudzJAr4iHnDiWWdA59,SEVILLA,['Thrife']
05tNrQNICAOfX8ohVpfkBb,Me Enamore,['El Alfa']
05tlQu50JVdWljfaY8CuyV,Hurra,"['Benjamin Hav', 'PIND', 'Emil Kruse']"
05vIFEbXYpmGOsLgWZVJCX,Jeżyk!,"['Oki', 'Nolyrics Beats']"
05xxKowy1irhzNeodiDrJ4,Dead Man Walking,['Emma Muscat']
05yJ4zGSH2HP9cSVE4pfOW,BLOCK,['A36']
05zd5Nv0e02ZqrlC8A2cwx,United In Grief,['Kendrick Lamar']
05zvG19WPTLz0yjn4mzM1L,Freak,['Little Mix']
062NBJjGsd3tmUMpvDPC3X,Stay,['Natan Dagur']
065bY5WrLvI3NN9VCK0QLe,Jerk,['Oliver Tree']
066AN3APAXFBkaliW7I4DB,Ny Dag,['Stepz']
068tcMkfYMsPd06kuQACB0,Drama,"['TopGunn', 'Johnson']"
069VGijrAsQVSY9ihFv1Px,Best Friend,"['Yelawolf', 'Eminem']"
06A8IAZELgqnjQTaISHxXc,Intro,"['LX', 'Maxwell']"
06ANtmRZox7qLpkmPwMrwE,Flex,['Luciano']
06AeUCEBbDQ0FNziK1BYvj,Sauce,['Dillom']
06BBTViYFk4niNs8X2pzSF,AMG,"['Azzi Memo', 'Eno']"
06FIk4hxnLgsS4U7P3gXwz,Leggi dell’universo,['Tancredi']
06GcodDliPWAYFX2LSFLIu,Vertigo,['Khalid']
06I7twfjJ763P5K2utISya,Better,['Takida']
06IYJV7Ed3FfpJurK7OIFG,Ridin',['Booba']
06JvOZ39sK8D8SqiqfaxDU,True Love,"['Kanye West', 'XXXTENTACION']"
06KH78mmsvESwUgJzdNOEc,Take My Hand,['Picture This']
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),"['Charlie Puth', 'Selena Gomez']"
06L1apH8kLF47dbhZ4Zg9A,BREATHE,['LeeHi']
06LdAAfiBewhEGfSjup2vp,Klisjé,['Cir.Cuz']
06Rn9dPc1lxouC62whG3l6,Criminale,"['Leaderbrain', 'Mente Fuerte', 'ObieDaz']"
06SlruQYZCozqCdlar8Y2g,tru,['CRO']
06TDTjD7efqsLwhXKv0bci,Shine,['Elaine']
06U6vkk8uXfYwpW2kiIMzC,Wolke 7,"['Gzuz', 'Bonez MC']"
06UUKFWdB0NJIY0RfVfCYQ,Hide & Seek,['Stormzy']
06UlqxpPCk69VHAZA6Ljje,Morfiini,['Apulanta']
06Wn0NldbOhwpKCsoTsUp7,Nacht,"['Kraantje Pappie', 'Guus Meeuwis']"
06b0Au6pvZiO03eKTCvgWh,ANIMAL,"['ACRU', 'WOS']"
06bT41bSoWLxRZE1yjzIpP,Intro,['Geolier']
06f7xgdVdW175TCPVNZc9d,Big Star,"['Lamanif', 'Afo']"
06jplse4tO3svbp9oK9usS,擁抱世界擁抱你 - 2017臺北世界大學運動會主題曲,['Various Artists']
06m5d7tSmOjGwdqvsLN1l1,Death Row,"['JURI', 'Sun Diego']"
06pbKFx2Iut0MRs1XjV9Mc,M.I.A.,['RIN']
06qx5HKOrKBnHrlh474PKt,Holding On,"['Disclosure', 'Gregory Porter']"
06s3QtMJVXw1AJX3UfvZG1,Hasta Que Dios Diga,"['Anuel AA', 'Bad Bunny']"
06s5OB7ja3OLcwgqDELbTs,Sorry,['Eddin']
06uxxu4PLfWzwFisqGL07w,Todo Bien,['Marilia Monzón']
06xtJscJRJBZjTThCy46iq,Mula,['Mert']
070Pfkehv3PXI2WNtFswLc,Ride or Die,['Djaga Djaga']
0713AFXFgZeyGq7kgO68UP,Number One,['AK26']
072bOPlll2Nf7PJuehs5SA,Santa Claus Is Coming To Town,['Matt Belsante']
075eujOS98sspI02wt3uBT,Migos,['Sevn Alias']
077yUjKZ53I5GK8C7aS5by,Silhouette,['MiyaGi & Endspiel']
079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']"
07ARBxsDbIdAxLwuRCkGJ4,Lights Out,['Virginia To Vegas']
07Af1vF3LFqNrmLC1Yzs0L,Olsun,['Sertab Erener']
07AjinIm6JadHFSQ5h3l6C,Haxis,['Miko Floso']
07BSbfzLQ4t09hwD8PO7iT,Zor,['Lil Zey']
07EIeT704ftlhnsyyXrVf8,Off The Grid,"['Loud', 'Lary Kidd']"
07FkzikE6FuHIa8Ma7zJGc,Lie,['NF']
07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),"['Roddy Ricch', 'Mustard']"
07L6tEZIfCX3GZAWCpGj0e,22,"['TINI', 'Greeicy']"
07Lxxln9lZ8m0hT6EySTCe,Atrévete,['Yago Roche']
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,"['THE ANXIETY', 'WILLOW', 'Tyler Cole']"
07MFZYl0ySh5dxYeVk7DWG,Daydream,['Aylo']
07MW63ok3ptSKwaTWEN0o8,Weak,['Larissa Lambert']
07Pul2bnHNGjkTuvuJXMwg,Mi Vida,"['Cheba Souad', 'Hichem Smati']"
07Q0VoVYnnsM5PRMz3NNp6,Let You Go,['Hash Blink']
07QfuFPazJYuzRtcWW0U2y,Silent Night,['Carpenters']
07RmHXaYqBdUyfAESPZkRO,Sleigh Ride,['Carpenters']
07SMblbVsNn7rCCPDzLObC,Colores,['Marcianeke']
07VwdDnNr05uJGgpM1IG40,Ice,['Ecko']
07dQsW9w1DgUFPtcBx14BP,Dangerous,['Jada']
07dYGGSrzPeg6a3KZjWX65,Boyfriend,['Justin Bieber']
07eET3PAzpSz5CLE4wGgN5,Inocente,['Myke Towers']
07eMEyNQOl1j6Wo5d9LDjI,Rungkad,['Happy Asmara']
07hRgRIohqJPDXeO4bmtH5,O Helga Natt,['Nils Bech']
07hmvoBWeqPwyhGwODFAc2,Intro,['Paky']
07iGY9KfBhKAPJPm8rQQKn,為i篩檢,['9m88']
07ibEk4DOJuopGi3I36B4I,Thank You,['MKTO']
